"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jun 01 10:02:15 UTC 2022","Wed Jun 01 10:02:26 UTC 2022","10884","","C16: The scheduler can delete an existing column.","","C16: The scheduler can delete an existing column.","Should verify that input is deleted in reserve form","Should verify that input is deleted in reserve form",""
"passed","Wed Jun 01 10:06:51 UTC 2022","Wed Jun 01 10:06:54 UTC 2022","3045","","C30: Verify that a scheduler can't add empty ""area name"".","","C30: Verify that a scheduler can't add empty ""area name"".","Should try to add configuration with empty area name field.","Should try to add configuration with empty area name field.",""
"passed","Wed Jun 01 10:01:39 UTC 2022","Wed Jun 01 10:01:50 UTC 2022","10890","","C15: The scheduler can add a new column","","C15: The scheduler can add a new column","Should verify that input displayed in reserve form.","Should verify that input displayed in reserve form.",""
"passed","Wed Jun 01 09:48:19 UTC 2022","Wed Jun 01 09:48:35 UTC 2022","15860","","C20: Filtering configurations by date (weeks).","","C20: Filtering configurations by date (weeks).","Should search by date.","Should search by date.",""
"passed","Wed Jun 01 10:02:47 UTC 2022","Wed Jun 01 10:02:52 UTC 2022","5192","","C17: The scheduler can edit an existing input field.","","C17: The scheduler can edit an existing input field.","Should edit created input from form structure","Should edit created input from form structure",""
"passed","Wed Jun 01 09:49:50 UTC 2022","Wed Jun 01 09:49:52 UTC 2022","2686","","C5: Login to ""Master Schedule"" application with invalid password at Staging server.","","C5: Login to ""Master Schedule"" application with invalid password at Staging server.","Should fill the ""Email"" input with the valid data and ""Password"" with random at least 6 symbols.","Should fill the ""Email"" input with the valid data and ""Password"" with random at least 6 symbols.",""
"broken","Wed Jun 01 10:04:58 UTC 2022","Wed Jun 01 10:05:20 UTC 2022","21950","","C24: The scheduler can create input field for and existing column with any type.","","C24: The scheduler can create input field for and existing column with any type.","Should verify that inputs are created in reserve form","Should verify that inputs are created in reserve form",""
"passed","Wed Jun 01 10:06:04 UTC 2022","Wed Jun 01 10:06:29 UTC 2022","25628","","C13: Verify that added date applied only to the selected ""project type"".","","C13: Verify that added date applied only to the selected ""project type"".","Should verify that date is displayed only in the ""Project type"" that you set for the scheduling date.","Should verify that date is displayed only in the ""Project type"" that you set for the scheduling date.",""
"passed","Wed Jun 01 09:53:23 UTC 2022","Wed Jun 01 09:53:24 UTC 2022","843","","C27: Creating a new project in an available slot by ""Sales Manager""","","C27: Creating a new project in an available slot by ""Sales Manager""","Log in as ""Sales Manager"".","Log in as ""Sales Manager"".",""
"passed","Wed Jun 01 09:53:23 UTC 2022","Wed Jun 01 09:53:23 UTC 2022","388","","C27: Creating a new project in an available slot by ""Sales Manager""","","C27: Creating a new project in an available slot by ""Sales Manager""","Open new page","Open new page",""
"passed","Wed Jun 01 09:53:48 UTC 2022","Wed Jun 01 09:54:34 UTC 2022","45896","","C28: Editing an existing project name by a ""Scheduler""","","C28: Editing an existing project name by a ""Scheduler""","Should edit existing project name to y009vproject","Should edit existing project name to y009vproject",""
"passed","Wed Jun 01 10:05:22 UTC 2022","Wed Jun 01 10:05:29 UTC 2022","7262","","C29: Verify that scheduler can't create empty ""input type"".","","C29: Verify that scheduler can't create empty ""input type"".","Should click the ""Update Schedule"" button.","Should click the ""Update Schedule"" button.",""
"passed","Wed Jun 01 09:50:46 UTC 2022","Wed Jun 01 09:51:35 UTC 2022","48958","","C25: Searching existing project by part of the name","","C25: Searching existing project by part of the name","Should search for created projects by part of the name: project","Should search for created projects by part of the name: project",""
"passed","Wed Jun 01 10:04:19 UTC 2022","Wed Jun 01 10:04:38 UTC 2022","19433","","C24: The scheduler can create input field for and existing column with any type.","","C24: The scheduler can create input field for and existing column with any type.","Should click the ""Update Form Structure"" button.","Should click the ""Update Form Structure"" button.",""
"passed","Wed Jun 01 09:53:11 UTC 2022","Wed Jun 01 09:53:12 UTC 2022","848","","C27: Creating a new project in an available slot by ""Sales Manager""","","C27: Creating a new project in an available slot by ""Sales Manager""","Log in as ""Scheduler"".","Log in as ""Scheduler"".",""
